Session,Date,Period,Movement,Distance,Duration,Passengers,Earnings,Tips,Cancel,Shared,TrueShared,Conversation,Origin,Goal,RatingConversation,RatingRoute,RatingComfortability,DOW,Month,StartTime,PickupTime,EndTime,TimeLabel,StartLocation,StartGas,EndGas,GasUsage,Wage,RatingSum,RatingMean,AdjDuration,AdjDistance,AdjGas,Position,AdjWage
1,2019-06-19T00:00:00Z,Drive,Drive,4.78,15,2,6.49,0,FALSE,TRUE,0,FALSE,Social,Home,NA,NA,NA,3,6,17.683333333333334,17.766666666666666,18.016666666666666,Other,La Jolla Shores,6.4,6.8,0.39999999999999947,25.96,NA,NA,19.5,4.83,0.44999999999999973,First,19.96923076923077
1,2019-06-19T00:00:00Z,Drive,Drive,1.32,7.8,1,3,0,FALSE,TRUE,0,FALSE,Work,Food,NA,NA,NA,3,6,18.033333333333335,18.116666666666667,18.266666666666666,EveningCommute,Eastgate,6.9,7.1,0.1999999999999993,23.076923076923077,NA,NA,12.3,1.495,0.24999999999999956,Middle,14.634146341463413
1,2019-06-19T00:00:00Z,Drive,Drive,1.81,5.5,1,3,1,FALSE,TRUE,0,TRUE,Home,Social,NA,NA,NA,3,6,18.4,18.466666666666665,18.55,Other,UTC,7.1,7.22,0.1200000000000001,43.63636363636363,NA,NA,12.5,3.035,0.20000000000000018,Last,19.2
2,2019-06-20T00:00:00Z,Drive,Drive,2.66,8.72,2,3.7,2,FALSE,FALSE,0,TRUE,Leisure,Leisure,NA,NA,NA,4,6,13.7,13.75,13.9,Other,Scripps,7.58,7.81,0.22999999999999954,39.220183486238525,NA,NA,25.22,4.5600000000000005,0.31499999999999995,First,13.560666137985725
2,2019-06-20T00:00:00Z,Drive,Drive,10.65,22.37,1,11.98,0,FALSE,TRUE,0,TRUE,Work,Home,NA,NA,NA,4,6,14.316666666666666,14.4,14.766666666666667,AfternoonCommute,Bird Rock,7.98,8.52,0.5399999999999991,32.13232007152436,NA,NA,38.870000000000005,12.8,0.6549999999999998,Middle,18.49241059943401
2,2019-06-20T00:00:00Z,Drive,Drive,1.7,4.7,1,4.25,0,FALSE,TRUE,0,FALSE,Work,Home,NA,NA,NA,4,6,14.9,15.033333333333333,15.1,AfternoonCommute,Eastgate,8.58,8.77,0.1899999999999995,54.25531914893617,NA,NA,8.7,1.95,0.21999999999999975,Middle,29.31034482758621
2,2019-06-20T00:00:00Z,Drive,Drive,14.59,35.57,1,17.53,0,FALSE,FALSE,0,FALSE,Work,Home,NA,NA,NA,4,6,15.1,15.183333333333334,15.766666666666667,EveningCommute,Eastgate,8.77,9.44,0.6699999999999999,29.569862243463596,NA,NA,55.57,29.79,1.6100000000000012,Last,18.927478855497572
3,2019-06-20T00:00:00Z,Drive,Drive,2.21,8.25,1,3.3,0,FALSE,TRUE,0,FALSE,School,Home,NA,NA,NA,4,6,21.316666666666666,21.333333333333332,21.483333333333334,Other,UCSD,9.98,10.16,0.17999999999999972,23.999999999999996,NA,NA,16.25,2.71,0.2599999999999998,First,12.184615384615384
3,2019-06-20T00:00:00Z,Drive,Drive,15.67,28.74,2,16.69,0,FALSE,TRUE,1,TRUE,Home,Social,NA,NA,NA,4,6,21.616666666666667,21.666666666666668,22.15,Other,UTC,10.16,11.3,1.1400000000000006,34.84342379958247,NA,NA,53.739999999999995,34.27,2.1899999999999995,Last,18.634164495720135
4,2019-06-21T00:00:00Z,Drive,Drive,12.75,20.3,3,12.89,0,FALSE,FALSE,0,FALSE,School,Leisure,NA,NA,NA,5,6,13.283333333333333,13.383333333333333,13.716666666666667,Other,UCSD,11.51,12.05,0.5400000000000009,38.09852216748769,NA,NA,27.3,12.75,0.5400000000000009,First,28.32967032967033
4,2019-06-21T00:00:00Z,Drive,Drive,6.61,15.3,1,7.76,0,FALSE,FALSE,0,FALSE,Leisure,Hotel,NA,NA,NA,5,6,13.716666666666667,13.783333333333333,14.033333333333333,Other,Mission Valley,12.05,12.35,0.29999999999999893,30.431372549019606,NA,NA,15.8,6.61,0.3149999999999995,Middle,29.468354430379744
4,2019-06-21T00:00:00Z,Drive,Drive,3.57,12.78,1,5.21,2,FALSE,TRUE,0,FALSE,Leisure,Hotel,NA,NA,NA,5,6,14.05,14.133333333333333,14.35,Other,Barrio Logan,12.38,12.61,0.22999999999999865,33.84976525821597,NA,NA,13.28,3.57,0.24499999999999922,Middle,32.575301204819276
4,2019-06-21T00:00:00Z,Drive,Drive,11.15,31,1,14.22,2.9,FALSE,FALSE,0,FALSE,Hotel,Food,NA,NA,NA,5,6,14.35,14.383333333333333,14.9,Other,Marina,12.61,13,0.39000000000000057,33.13548387096775,NA,NA,77,29.15,1.3900000000000006,Last,13.340259740259741
5,2019-06-23T00:00:00Z,Drive,Drive,12.45,23.75,4,13.46,5.16,FALSE,FALSE,0,FALSE,Social,Social,NA,NA,NA,7,6,18.566666666666666,18.616666666666667,19.016666666666666,Nightlife,Pacific Beach,0.58,1.1,0.5200000000000001,47.04,NA,NA,39.75,18.375,0.725,First,28.105660377358493
5,2019-06-23T00:00:00Z,Drive,Drive,4.12,7.92,2,4.47,2,FALSE,FALSE,0,TRUE,Home,Social,NA,NA,NA,7,6,19.083333333333332,19.15,19.283333333333335,Nightlife,South Park,1.15,1.48,0.33000000000000007,49.015151515151516,NA,NA,11.42,4.295,0.365,Middle,33.992994746059544
5,2019-06-23T00:00:00Z,Drive,Drive,10.08,12.83,2,9.46,5,FALSE,FALSE,0,TRUE,Social,Home,NA,NA,NA,7,6,19.333333333333332,19.383333333333333,19.6,Other,Mission Hills,1.5,1.84,0.3400000000000001,67.62275915822292,NA,NA,17.83,12.030000000000001,0.405,Middle,48.65956253505328
5,2019-06-23T00:00:00Z,Drive,Drive,9.68,20.12,1,10.84,0,FALSE,TRUE,0,FALSE,Social,Food,NA,NA,NA,7,6,19.716666666666665,19.8,20.133333333333333,Other,La Jolla Shores,1.95,2.4,0.44999999999999996,32.32604373757455,NA,NA,27.12,11.68,0.53,Middle,23.98230088495575
5,2019-06-23T00:00:00Z,Drive,Drive,3.48,11.22,1,4.8,0,FALSE,TRUE,0,FALSE,Food,Home,NA,NA,NA,7,6,20.25,20.3,20.483333333333334,Other,Miramar,2.45,2.68,0.22999999999999998,25.668449197860962,NA,NA,83.72,25.78,1.175,Last,3.4400382226469186
6,2019-06-24T00:00:00Z,Drive,Drive,1.2,7.5,1,3,3,FALSE,FALSE,0,TRUE,Social,Hotel,NA,NA,NA,1,6,17.95,17.966666666666665,18.083333333333332,Other,Old Town,4,4.15,0.15000000000000036,48,NA,NA,28.5,11.299999999999999,0.5200000000000005,First,12.631578947368421
6,2019-06-24T00:00:00Z,Drive,Drive,9.6,14.23,2,9.46,0,FALSE,FALSE,0,FALSE,Social,Hotel,NA,NA,NA,1,6,18.083333333333332,18.116666666666667,18.35,Other,Old Town,4.15,4.42,0.2699999999999996,39.88756148981027,NA,NA,15.73,9.6,0.2799999999999998,Middle,36.08391608391609
6,2019-06-24T00:00:00Z,Drive,Drive,13.93,24,3,14.49,4.1,FALSE,FALSE,0,TRUE,Home,Social,NA,NA,NA,1,6,18.4,18.45,18.85,Other,SDSU,4.44,4.98,0.54,46.475,NA,NA,48.5,22.33,0.9599999999999995,Last,22.997938144329897
7,2019-06-25T00:00:00Z,Drive,Drive,3.1,10,1,4.33,0,FALSE,FALSE,0,FALSE,Hotel,Work,NA,NA,NA,2,6,7.816666666666666,7.866666666666667,8.033333333333333,MorningCommute,UTC,5.45,5.68,0.22999999999999954,25.98,NA,NA,19.5,4.75,0.29000000000000004,First,13.323076923076924
7,2019-06-25T00:00:00Z,Drive,Drive,4.75,15,1,6.49,2,FALSE,FALSE,0,TRUE,Hotel,Work,NA,NA,NA,2,6,8.05,8.1,8.35,MorningCommute,Torrey Pines,5.68,5.96,0.28000000000000025,33.96,NA,NA,17,5.4,0.30500000000000016,Middle,29.96470588235294
7,2019-06-25T00:00:00Z,Drive,Drive,2.03,11,1,3.84,0,FALSE,FALSE,0,TRUE,Home,Work,NA,NA,NA,2,6,8.4,8.5,8.683333333333334,MorningCommute,UTC,6.01,6.23,0.22000000000000064,20.945454545454542,NA,NA,19.5,3.8299999999999996,0.32499999999999973,Last,11.815384615384616
8,2019-06-26T00:00:00Z,Drive,Drive,14.98,22.08,1,14.75,0,FALSE,TRUE,0,FALSE,Home,Airport,NA,NA,NA,3,6,11.233333333333333,11.266666666666667,11.633333333333333,Other,UTC,7.45,8,0.5499999999999998,40.08152173913044,NA,NA,39.58,20.580000000000002,0.8499999999999996,First,22.35977766548762
8,2019-06-26T00:00:00Z,Drive,Drive,17.41,22.67,1,16.45,4,FALSE,FALSE,0,TRUE,Airport,Work,NA,NA,NA,3,6,11.65,11.833333333333334,12.216666666666667,AfternoonCommute,Airport,8.1,8.62,0.5199999999999996,54.124393471548295,NA,NA,27.67,17.61,0.5699999999999994,Middle,44.34405493314058
8,2019-06-26T00:00:00Z,Drive,Drive,1.33,6.25,1,4.5,0,FALSE,TRUE,0,TRUE,Home,Food,NA,NA,NA,3,6,12.366666666666667,12.516666666666667,12.616666666666667,Other,Miramar,8.62,8.83,0.21000000000000085,43.199999999999996,NA,NA,30.25,5.28,0.3600000000000012,Middle,8.925619834710744
8,2019-06-26T00:00:00Z,Drive,Drive,3.99,14.55,1,5.88,0,FALSE,TRUE,0,FALSE,Work,Home,NA,NA,NA,3,6,13.266666666666667,13.3,13.533333333333333,AfternoonCommute,Torrey Pines,9.13,9.43,0.29999999999999893,24.247422680412367,NA,NA,34.55,7.94,0.4599999999999991,Middle,10.211287988422576
8,2019-06-26T00:00:00Z,Drive,Drive,11.04,19.28,2,11.54,0,FALSE,FALSE,0,TRUE,Social,Home,NA,NA,NA,3,6,13.55,13.6,13.916666666666666,Other,Eastgate,9.45,9.87,0.41999999999999993,35.91286307053941,NA,NA,47.78,18.24,0.7900000000000009,Last,14.491419003767264
9,2019-06-27T00:00:00Z,Drive,Drive,3.17,12.4,4,4.86,0,FALSE,FALSE,0,FALSE,Leisure,Home,NA,NA,NA,4,6,16.15,16.25,16.466666666666665,Other,La Jolla Shores,0.33,0.62,0.29,23.516129032258068,NA,NA,15.65,3.32,0.315,First,18.632587859424923
9,2019-06-27T00:00:00Z,Drive,Drive,0.5,4.34,1,3,0,FALSE,FALSE,0,FALSE,Home,Home,NA,NA,NA,4,6,16.466666666666665,16.5,16.583333333333332,Other,UTC,0.63,0.7,0.06999999999999995,41.474654377880185,NA,NA,4.59,0.55,0.07499999999999996,Middle,39.21568627450981
9,2019-06-27T00:00:00Z,Drive,Drive,1.69,6.13,1,3,0,FALSE,TRUE,0,FALSE,Food,Home,NA,NA,NA,4,6,16.583333333333332,16.666666666666668,16.766666666666666,Other,La Jolla Village,0.7,0.86,0.16000000000000003,29.363784665579118,NA,NA,8.629999999999999,2.19,0.20500000000000002,Middle,20.857473928157592
9,2019-06-27T00:00:00Z,Drive,Drive,4.83,12.58,1,5.99,2,FALSE,TRUE,0,TRUE,Home,Social,NA,NA,NA,4,6,16.85,16.883333333333333,17.1,Other,La Jolla Colony,0.95,1.19,0.24,38.10810810810811,NA,NA,19.58,5.98,0.335,Middle,24.484167517875385
9,2019-06-27T00:00:00Z,Drive,Drive,2.63,18.67,1,5.92,2,FALSE,FALSE,0,TRUE,Work,Hotel,NA,NA,NA,4,6,17.25,17.316666666666666,17.633333333333333,EveningCommute,Eastgate,1.29,1.57,0.28,25.45259775040171,NA,NA,29.17,4.279999999999999,0.41999999999999993,Last,16.290709633184775
10,2019-06-27T00:00:00Z,Drive,Drive,5.31,10.88,1,5.92,0,FALSE,TRUE,0,TRUE,Work,Leisure,NA,NA,NA,4,6,20.3,20.366666666666667,20.55,Other,La Jolla Shores,1.73,1.96,0.22999999999999998,32.64705882352941,NA,NA,17.380000000000003,5.31,0.22999999999999998,First,20.43728423475259
10,2019-06-27T00:00:00Z,Drive,Drive,5.46,11.32,1,6.11,0,FALSE,TRUE,0,TRUE,Leisure,Work,NA,NA,NA,4,6,20.666666666666668,20.666666666666668,20.85,Other,Sorrento Valley,1.96,2.19,0.22999999999999998,32.3851590106007,NA,NA,14.82,5.46,0.22999999999999998,Middle,24.736842105263158
10,2019-06-27T00:00:00Z,Drive,Drive,0.86,3.7,2,3,0,FALSE,FALSE,0,TRUE,Food,Food,NA,NA,NA,4,6,20.816666666666666,20.933333333333334,20.983333333333334,Other,La Jolla,2.19,2.32,0.1299999999999999,48.648648648648646,NA,NA,3.7,0.86,0.1299999999999999,Middle,48.648648648648646
10,2019-06-27T00:00:00Z,Drive,Drive,3.18,9.25,1,4.15,3,FALSE,FALSE,0,TRUE,Social,Home,NA,NA,NA,4,6,20.933333333333334,21.033333333333335,21.2,Other,La Jolla,2.32,2.47,0.15000000000000036,46.378378378378386,NA,NA,13.75,3.93,0.2400000000000002,Middle,31.2
10,2019-06-27T00:00:00Z,Drive,Drive,3.74,7.62,2,4.16,0,FALSE,TRUE,0,TRUE,Home,Home,NA,NA,NA,4,6,21.35,21.4,21.516666666666666,Other,Pacific Beach,2.65,2.81,0.16000000000000014,32.75590551181102,NA,NA,14.120000000000001,4.49,0.26,Middle,17.677053824362606
10,2019-06-27T00:00:00Z,Drive,Drive,3.14,6.8,2,3.58,2,FALSE,TRUE,0,TRUE,Home,Home,NA,NA,NA,4,6,21.583333333333332,21.633333333333333,21.75,Other,Clairemont,2.83,2.94,0.10999999999999988,49.235294117647065,NA,NA,20.8,8.34,0.32000000000000006,Last,16.096153846153847
11,2019-06-29T00:00:00Z,Drive,Drive,14.68,20.7,2,14.25,0,FALSE,TRUE,0,TRUE,Leisure,Hotel,NA,NA,NA,6,6,16.45,16.483333333333334,16.816666666666666,Tourism,La Jolla Shores,4.68,5.15,0.47000000000000064,41.30434782608695,NA,NA,24.2,15.18,0.5050000000000003,First,35.3305785123967
11,2019-06-29T00:00:00Z,Drive,Drive,1.63,9,1,3.08,0,FALSE,FALSE,0,FALSE,Home,Food,NA,NA,NA,6,6,16.933333333333334,16.95,17.1,Other,Gaslamp,5.22,5.37,0.15000000000000036,20.533333333333335,NA,NA,18.5,3.28,0.2450000000000001,Middle,9.98918918918919
11,2019-06-29T00:00:00Z,Drive,Drive,6.13,13.5,2,7.04,0,FALSE,FALSE,0,TRUE,Hotel,Leisure,NA,NA,NA,6,6,17.3,17.35,17.583333333333332,Tourism,Mission Hills,5.49,5.79,0.2999999999999998,31.28888888888889,NA,NA,23,7.879999999999999,0.395,Middle,18.36521739130435
11,2019-06-29T00:00:00Z,Drive,Drive,2.2,13.08,1,4.38,0,FALSE,TRUE,0,FALSE,Leisure,Food,NA,NA,NA,6,6,17.7,17.75,17.966666666666665,Other,Balboa Park,5.86,6.02,0.15999999999999925,20.091743119266056,NA,NA,19.58,2.825,0.22499999999999964,Middle,13.42185903983657
11,2019-06-29T00:00:00Z,Drive,Drive,6.87,17.7,4,8.39,0,FALSE,FALSE,0,TRUE,Social,Hotel,NA,NA,NA,6,6,18.066666666666666,18.133333333333333,18.416666666666668,Other,Little Italy,6.08,6.39,0.3099999999999996,28.4406779661017,NA,NA,21.2,6.8950000000000005,0.3450000000000002,Middle,23.74528301886793
11,2019-06-29T00:00:00Z,Drive,Drive,6.3,10.83,1,6.55,4,FALSE,FALSE,0,TRUE,Work,Home,NA,NA,NA,6,6,18.433333333333334,18.516666666666666,18.7,Other,Coronado,6.4,6.69,0.29000000000000004,58.44875346260389,NA,NA,31.33,19.4,0.7049999999999996,Last,20.204277050750083
12,2019-07-01T00:00:00Z,Drive,Drive,14.01,19.85,1,13.61,0,FALSE,FALSE,0,FALSE,Home,Airport,NA,NA,NA,1,7,7.233333333333333,7.266666666666667,7.6,Other,UTC,7.43,7.89,0.45999999999999996,41.13853904282115,NA,NA,53.35,19.01,0.7150000000000003,First,15.30646672914714
12,2019-07-01T00:00:00Z,Drive,Drive,10.57,13.18,1,9.87,0,FALSE,FALSE,0,FALSE,Home,Work,NA,NA,NA,1,7,8.416666666666666,8.45,8.666666666666666,MorningCommute,East Village,8.22,8.66,0.4399999999999995,44.931714719271625,NA,NA,38.68,13.82,0.605,Middle,15.310237849017579
12,2019-07-01T00:00:00Z,Drive,Drive,0,0,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8.7,8.7,8.7,Other,La Mesa,8.66,8.66,0,NA,NA,NA,4,0.05,0,Middle,NA
12,2019-07-01T00:00:00Z,Drive,Drive,14.23,16.75,1,13.06,0,FALSE,TRUE,0,FALSE,Work,Airport,NA,NA,NA,1,7,8.8,8.916666666666666,9.2,Other,La Mesa,8.66,9.1,0.4399999999999995,46.78208955223881,NA,NA,45.75,26.23,0.8900000000000006,Last,17.127868852459017
13,2019-07-05T00:00:00Z,Drive,Drive,2.73,9.28,2,3.87,3,FALSE,FALSE,0,TRUE,Leisure,Home,NA,NA,NA,5,7,15.483333333333333,15.616666666666667,15.766666666666667,Other,La Jolla Shores,10.32,10.53,0.20999999999999908,44.418103448275865,NA,NA,9.28,2.73,0.20999999999999908,First,44.418103448275865
13,2019-07-05T00:00:00Z,Drive,Drive,4.48,15.77,2,6.46,2,FALSE,TRUE,1,TRUE,School,Home,NA,NA,NA,5,7,15.766666666666667,15.8,16.066666666666666,Other,UCSD,10.53,10.81,0.28000000000000114,32.18769816106532,NA,NA,16.77,4.605,0.28000000000000114,Middle,30.268336314847947
13,2019-07-05T00:00:00Z,Drive,Drive,0.76,6.42,1,4.5,0,FALSE,TRUE,0,FALSE,Home,Work,NA,NA,NA,5,7,16.1,16.25,16.366666666666667,Other,Eastgate,10.81,11.03,0.21999999999999886,42.05607476635514,NA,NA,10.92,1.385,0.2599999999999989,Middle,24.725274725274726
13,2019-07-05T00:00:00Z,Drive,Drive,11.75,22.32,1,12.69,0,FALSE,TRUE,0,FALSE,Food,Home,NA,NA,NA,5,7,16.483333333333334,16.533333333333335,16.9,Other,UTC,11.11,11.53,0.41999999999999993,34.11290322580645,NA,NA,52.82,23.85,0.8900000000000015,Last,14.414994320333207
14,2019-07-06T00:00:00Z,Drive,Drive,11.8,20.97,2,12.42,0,FALSE,FALSE,0,FALSE,Hotel,Leisure,NA,NA,NA,6,7,18.75,18.783333333333335,19.133333333333333,Other,La Jolla Shores,15.46,15.91,0.4499999999999993,35.53648068669528,NA,NA,38.47,12.600000000000001,0.48499999999999943,First,19.370938393553416
14,2019-07-06T00:00:00Z,Drive,Drive,29.03,49.73,4,30.13,3.79,FALSE,TRUE,1,TRUE,Leisure,Home,NA,NA,NA,6,7,19.45,19.55,20.383333333333333,Other,Sunset Cliffs,15.98,17.12,1.1400000000000006,40.92499497285341,NA,NA,59.73,29.830000000000002,1.1750000000000007,Middle,34.0733299849322
14,2019-07-06T00:00:00Z,Drive,Drive,30.74,32.33,2,29.03,0,FALSE,TRUE,0,FALSE,Social,Home,NA,NA,NA,6,7,20.4,20.5,21.033333333333335,Other,Otay Ranch,17.12,18.14,1.0199999999999996,53.875657284256114,NA,NA,41.83,32.94,1.1400000000000006,Last,41.63997131245518
15,2019-07-10T00:00:00Z,Drive,Drive,8.31,23.75,4,10.77,0,FALSE,TRUE,1,TRUE,Hotel,Leisure,NA,NA,NA,3,7,12.55,12.583333333333334,12.983333333333333,Other,Old Town,18.53,19,0.46999999999999886,27.208421052631575,NA,NA,59.25,19.56,0.745000000000001,First,10.90632911392405
15,2019-07-10T00:00:00Z,Drive,Drive,1.36,6.62,1,3,0,FALSE,TRUE,0,FALSE,Hotel,Food,NA,NA,NA,3,7,13.266666666666667,13.3,13.4,Other,Gaslamp,19.03,19.17,0.14000000000000057,27.190332326283986,NA,NA,18.62,2.81,0.15500000000000114,Middle,9.66702470461869
15,2019-07-10T00:00:00Z,Drive,Drive,5.89,15.45,2,7.33,3,FALSE,TRUE,1,TRUE,Work,Hotel,NA,NA,NA,3,7,13.516666666666667,13.55,13.8,AfternoonCommute,Marina,19.17,19.49,0.31999999999999673,40.116504854368934,NA,NA,35.95,12.29,0.5599999999999987,Last,17.240611961057024
16,2019-07-17T00:00:00Z,Drive,Drive,4.34,16.6,4,6.57,0,FALSE,FALSE,0,FALSE,Food,Home,NA,NA,NA,3,7,20.316666666666666,20.516666666666666,20.783333333333335,Other,UCSD,4.29,4.68,0.3899999999999997,23.746987951807228,NA,NA,17.6,4.4399999999999995,0.4049999999999998,First,22.39772727272727
